protocol=2 seed=67 ops=10000
DET scan_inverted 0
DET scan_snapshot 1
DET delrange_empty ok
SCAN [key4671, key7204) size=7
SCAN [key3950, key9611) size=62
SCAN [key3692, key6812) size=14
SCAN [key1535, key7621) size=36
SCAN [key7466, key7492) size=0
SCAN [key3154, key6192) size=0
SCAN [key1243, key2453) size=2
SCAN [key1197, key2723) size=4
SCAN [key6247, key9967) size=68
SCAN [key3525, key815) size=16
SCAN [key1989, key7830) size=18
SCAN [key5685, key6367) size=3
SCAN [key3200, key7596) size=13
SCAN [key433, key9990) size=39
SCAN [key3181, key3750) size=0
SCAN [key8476, key9426) size=16
SCAN [key2135, key5157) size=1
SCAN [key3804, key5338) size=3
SCAN [key406, key8305) size=10
SCAN [key1788, key7235) size=12
SCAN [key1977, key2286) size=3
SCAN [key435, key9351) size=31
SCAN [key1182, key3258) size=4
SCAN [key4041, key437) size=0
SCAN [key1009, key5874) size=16
SCAN [key6588, key9489) size=21
SCAN [key6283, key7332) size=7
SCAN [key566, key6644) size=9
SCAN [key6226, key9835) size=28
SCAN [key4596, key9527) size=46
SCAN [key3599, key8483) size=47
SCAN [key2230, key979) size=59
SCAN [key3437, key4972) size=10
SCAN [key1347, key6914) size=49
SCAN [key1160, key172) size=2
SCAN [key6225, key69) size=6
SCAN [key1868, key457) size=21
SCAN [key8615, key9445) size=0
SCAN [key3273, key9612) size=57
SCAN [key1605, key8649) size=70
SCAN [key1724, key4980) size=4
SCAN [key2290, key2650) size=0
SCAN [key4063, key6847) size=6
SCAN [key441, key838) size=6
SCAN [key6798, key862) size=4
SCAN [key3892, key5582) size=7
SCAN [key3225, key6895) size=18
SCAN [key1665, key786) size=28
SCAN [key4923, key7432) size=19
SCAN [key4049, key9890) size=47
SCAN [key4041, key9845) size=14
SCAN [key1749, key9348) size=8
SCAN [key4432, key6419) size=1
SCAN [key2888, key9855) size=16
SCAN [key2668, key764) size=14
SCAN [key4783, key5892) size=1
SCAN [key6433, key8620) size=1
SCAN [key2463, key3460) size=4
SCAN [key160, key4681) size=9
SCAN [key7434, key7763) size=0
SCAN [key2799, key5576) size=14
SCAN [key5304, key9602) size=8
SCAN [key7783, key8616) size=1
SCAN [key1092, key6088) size=7
SCAN [key5273, key9613) size=12
SCAN [key4701, key6465) size=3
SCAN [key1432, key5338) size=5
SCAN [key773, key7851) size=0
SCAN [key5, key5929) size=2
SCAN [key6501, key9971) size=20
SCAN [key7108, key8014) size=2
SCAN [key3802, key8569) size=10
SCAN [key3548, key756) size=13
SCAN [key4118, key4369) size=0
SCAN [key2329, key4455) size=7
SCAN [key4911, key8593) size=16
SCAN [key1307, key7924) size=28
SCAN [key2790, key4499) size=8
SCAN [key5390, key5553) size=2
SCAN [key1401, key3536) size=21
SCAN [key391, key5768) size=18
SCAN [key2284, key4218) size=16
SCAN [key739, key820) size=5
SCAN [key1763, key9879) size=8
SCAN [key3909, key9110) size=9
SCAN [key4860, key761) size=0
SCAN [key5814, key6808) size=0
GET key9963 => value48269
SCAN [key7154, key7237) size=0
SCAN [key3375, key8871) size=16
SCAN [key6934, key7908) size=5
SCAN [key4043, key5047) size=6
SCAN [key3942, key8588) size=5
SCAN [key1187, key7196) size=13
SCAN [key3661, key5521) size=0
SCAN [key1977, key5845) size=6
SCAN [key5412, key9866) size=15
SCAN [key1678, key6494) size=18
SCAN [key3455, key7092) size=13
SCAN [key3388, key5342) size=5
SCAN [key8262, key9429) size=6
SCAN [key1440, key1897) size=2
SCAN [key2669, key568) size=9
SCAN [key1569, key611) size=22
SCAN [key1999, key5515) size=15
SCAN [key6065, key951) size=18
SCAN [key2596, key4088) size=9
SCAN [key6207, key9364) size=17
SCAN [key6647, key8450) size=6
SCAN [key4556, key6965) size=15
SCAN [key4361, key7641) size=17
SCAN [key5038, key6032) size=6
SCAN [key110, key9575) size=53
GET key1375 => value40525
SCAN [key1377, key870) size=46
GET key5367 => value20878
SCAN [key7509, key8588) size=2
SCAN [key3738, key670) size=3
SCAN [key4987, key6743) size=2
SCAN [key2523, key2973) size=1
SCAN [key5634, key7138) size=2
SCAN [key537, key6432) size=0
SCAN [key1834, key2252) size=1
SCAN [key3345, key8027) size=11
SCAN [key1412, key5256) size=9
SCAN [key5164, key6447) size=3
SCAN [key3486, key7390) size=7
SCAN [key7967, key9128) size=7
SCAN [key3446, key439) size=3
SCAN [key2211, key8482) size=8
SCAN [key3640, key7586) size=0
SCAN [key5824, key879) size=2
SCAN [key3606, key5389) size=2
SCAN [key4419, key7985) size=7
SCAN [key3871, key7918) size=12
SCAN [key1073, key913) size=31
SCAN [key6982, key9541) size=13
SCAN [key2291, key676) size=22
SCAN [key276, key9148) size=35
SCAN [key816, key9267) size=4
SCAN [key1019, key8849) size=48
SCAN [key431, key5890) size=9
SCAN [key1646, key427) size=20
SCAN [key4380, key6576) size=15
SCAN [key1249, key8166) size=51
SCAN [key2564, key3095) size=7
SCAN [key1412, key3052) size=19
SCAN [key1637, key7580) size=2
SCAN [key5280, key937) size=11
SCAN [key335, key4239) size=0
SCAN [key824, key9789) size=11
SCAN [key5442, key6451) size=0
SCAN [key1823, key7771) size=9
SCAN [key6548, key9388) size=11
SCAN [key1673, key4223) size=7
SCAN [key1482, key6737) size=17
SCAN [key7184, key7665) size=1
SCAN [key6890, key9172) size=13
SCAN [key2210, key6884) size=16
SCAN [key3192, key9913) size=35
SCAN [key5208, key7491) size=3
SCAN [key668, key9737) size=22
SCAN [key5799, key6272) size=0
SCAN [key1009, key6595) size=19
SCAN [key2331, key79) size=16
SCAN [key1015, key7029) size=21
SCAN [key1945, key3491) size=9
SCAN [key1042, key5452) size=23
SCAN [key2801, key4177) size=6
SCAN [key2152, key6568) size=20
SCAN [key1057, key2298) size=8
SCAN [key5504, key7292) size=7
SCAN [key5537, key7406) size=1
SCAN [key9331, key9684) size=10
SCAN [key3375, key5124) size=6
SCAN [key3250, key3398) size=2
SCAN [key2902, key9153) size=24
SCAN [key4469, key5261) size=0
SCAN [key5485, key8083) size=1
SCAN [key5143, key6437) size=0
SCAN [key2003, key6387) size=10
SCAN [key7125, key7485) size=0
SCAN [key7696, key9076) size=8
SCAN [key441, key6401) size=1
SCAN [key1625, key4612) size=3
SCAN [key4408, key6825) size=4
SCAN [key6892, key8811) size=4
